# SGA_ID DESI_NAME RA Dec z_desi V_0p4R26  V_0p4R26_err  V_PEC  V_ERR_PEC
1289615 DESIXJ09260603+4857404 141.525124 48.961234 0.0270 41 14 4822 4327
1290437 DESIXJ22343680+0010245 338.653336 0.173482 0.0155 68 3 1062 331
1291838 DESIXJ14323343+5224487 218.139300 52.413539 0.0114 38 1 1153 167
1295100 DESIXJ15331949+3841543 233.331195 38.698431 0.0603 27 9 29532 9596
1295553 DESIXJ12004749-0325123 180.197893 -3.420095 0.0050 48 0 -1461 42
1299576 DESIXJ16385416+4211314 249.725665 42.192043 0.0274 17 2 13463 1472
1300762 DESIXJ13183827+3153597 199.659447 31.899909 0.1293 385 13 -24311 1840
1305678 DESIXJ11201658+0042156 170.069100 0.704323 0.0194 69 16 -771 1841
1313577 DESIXJ11342105-0500251 173.587715 -5.006972 0.0478 22 5 19816 5394
1313848 DESIXJ16084494+3040599 242.187233 30.683319 0.0500 34 6 22354 3879
