# RA DEC
9.825 26.75778
9.82667 24.73167
9.82083 13.08833
9.82875 9.15222
9.82958 3.94806
9.82875 6.20528
9.83792 13.10972
9.84583 14.45555
9.84583 4.57056
9.85 29.40139
9.84625 2.80361
9.86125 25.25056
9.85792 4.00083
9.86042 4.17472
9.86833 26.07722
9.86708 14.61889
9.87292 27.72056
9.8725 34.51722
9.88417 3.14917
9.88667 3.55
9.88708 3.92889
9.89625 2.88806
9.8975 16.72
9.90042 0.86167
9.9075 14.65917
9.90792 8.96861
9.93583 21.19278
9.94417 33.15694
9.97625 6.28083
10.04792 22.71361
10.05125 12.03861
10.05875 0.595
10.07083 31.11
10.08167 8.87917
10.09375 14.61667
10.09875 12.305
10.14 26.66333
10.14958 27.05083
10.15125 30.56278
10.15208 30.66306
10.17667 26.02639
10.17333 2.51083
10.18083 22.675
10.22542 34.74194
10.22875 36.0725
10.23292 14.24556
10.23917 24.61028
10.23875 31.90611
10.25792 9.88417
10.26708 31.73195
10.27917 25.59917
10.29833 0.65528
10.29458 16.46695
10.30083 15.04889
10.30667 27.36556
10.32042 15.22083
10.32125 14.58333
10.32375 3.5075
10.34458 14.9175
10.3525 -0.06417
10.36583 25.50028
10.37333 10.89194
10.385 19.90556
10.38958 29.51556
10.40042 31.74056
10.40333 29.20417
10.40667 0.27639
10.41875 31.26583
10.41542 0.21722
10.41667 10.82222
10.42958 12.98972
10.4425 13.44028
10.44417 1.18861
10.46458 29.75611
10.46333 32.98695
10.46417 11.96194
10.50167 25.56917
10.51792 25.33722
10.5175 8.7225
10.53292 33.40834
10.54208 -0.09306
10.57042 0.8475
10.5725 2.65139
10.58167 27.16417
10.585 29.9425
10.58667 29.70083
10.58958 29.64333
10.60125 15.91917
10.60167 14.71194
10.60833 25.18167
10.61375 35.79194
10.60917 14.69694
10.61125 12.985
10.6125 33.18667
10.61375 5.22639
10.62333 5.20472
10.62625 8.22889
10.63 34.53861
10.63458 29.16805
10.64542 3.24917
10.65167 10.00111
10.66625 29.87417
10.66125 0.27833
10.66292 2.73806
10.66958 3.1575
10.66833 34.70444
10.70542 14.44167
10.70625 23.49611
10.71792 2.61778
10.72167 32.57861
10.72167 33.51944
10.72708 23.49694
10.73875 27.25222
10.74333 35.35722
10.745 25.90667
10.79583 24.48639
10.80958 32.81889
10.84208 5.35472
10.87042 30.04944
10.86542 2.95972
10.86875 -0.12611
10.88667 30.59806
10.885 14.34111
10.90167 0.88528
10.93042 25.8675
10.95417 32.86389
10.97042 35.23083
10.96708 0.80667
10.98833 26.1475
10.98625 1.85111
11.0 22.47167
11.01333 28.87389
11.01875 26.20111
11.01667 5.25694
11.02042 14.40722
11.02667 7.12778
11.05792 26.63056
11.06 26.84306
11.05958 32.61166
11.05917 7.05111
11.06875 25.76417
11.07 10.57861
11.0825 23.8325
11.08417 22.885
11.09583 30.43056
11.10167 14.29472
11.11583 7.37944
11.12792 1.11
11.1325 9.29694
11.1475 30.35167
11.14833 25.69917
11.15042 29.3275
11.1675 9.32028
11.19583 8.33583
11.19917 5.13806
11.2075 25.45028
11.21833 23.80444
11.22375 31.07917
11.22292 16.93333
11.23958 28.09917
11.23292 14.83917
11.23917 27.44972
11.24417 1.64806
11.25292 9.23167
11.26958 25.79583
11.26708 11.24889
11.2825 5.00444
11.29625 14.18583
11.29667 28.74639
11.30583 10.51111
11.32625 24.14389
11.33708 29.8325
11.3425 14.57111
11.34292 16.78472
11.35333 7.27639
11.38833 31.73917
11.41625 10.73889
11.43042 29.8325
11.44333 5.54889
11.45375 31.15
11.4725 1.32472
11.47917 20.59667
11.47583 5.79944
11.49 25.24111
11.50333 29.775
11.50708 29.95778
